timestamp,participant_id,load_kw,gen_kw,battery_kwh
2024-06-01T00:00:00,household_1,0.42,0.00,2.1
2024-06-01T00:00:00,household_2,0.31,0.00,1.4
2024-06-01T00:00:00,household_3,0.55,0.00,0.8
2024-06-01T00:00:00,commercial_1,1.80,0.20,5.0
2024-06-01T00:00:00,ev_station_1,2.40,0.00,8.0
2024-06-01T00:15:00,household_1,0.38,0.00,2.0
2024-06-01T00:15:00,household_2,0.29,0.00,1.4
2024-06-01T00:15:00,household_3,0.61,0.00,0.7
2024-06-01T00:15:00,commercial_1,1.75,0.25,5.1
2024-06-01T00:15:00,ev_station_1,2.10,0.00,7.6
2024-06-01T12:00:00,household_1,0.51,2.80,3.4
2024-06-01T12:00:00,household_2,0.44,1.90,2.6
2024-06-01T12:00:00,household_3,0.72,0.00,0.5
2024-06-01T12:00:00,commercial_1,2.60,1.10,5.4
2024-06-01T12:00:00,ev_station_1,3.30,0.60,9.1
2024-06-01T12:15:00,household_1,0.49,2.95,3.6
2024-06-01T12:15:00,household_2,0.46,2.05,2.8
2024-06-01T12:15:00,household_3,0.75,0.00,0.4
2024-06-01T12:15:00,commercial_1,2.70,1.25,5.6
2024-06-01T12:15:00,ev_station_1,3.10,0.70,9.3
